parsedUrl	title	sku	upc	mpn	brand	imageUrl	minSalePrice	minListPrice	availability	categoryTexts	additionalAttributes	smallDescription	longDescription	specificationText	externalProductUrl	canonicalUrl	urlsToSeeder	statusCode
https://www.walgreens.com/store/c/nellie's-all-natural-dryerball-fragrance-sticks-simply-fresh/ID=prod6193144-product	Nellie's All Natural Dryerball Fragrance Sticks Simply Fresh10.0ea	302788	81064800701		Nellie's All Natural	https://pics.drugstore.com/prodimg/333854/450.jpg	6.99	9.99	In Stock	Home, Shop,Household,Laundry & Cleaning,Laundry	{"Ingredients":"Ingredients:Soy Wax 100% pure , Essential Oil, Paper Board","Product in inches LxWxH":"4.1x 3.6x 7.1","Item Code":"302788","Shipping Weight in lbs":"0.35"}	Natural way to add fragrance10 dryer sticks per bottleEach lasts up to 10 loads	Quick viewNatural way to add fragrance10 dryer sticks per bottleEach lasts up to 10 loadsPlease Note: Product received may temporarily differ from image shown due to packaging update.For use with Nellie's PVC free Dryerballs. These soy wax and essential oil infused fragrance sticks are sure to please anyone looking to add a little flavor to their laundry.10 per bottle.Each lasts up to 10 loads depending on fabrics & drying timeNellie never tested on animalsMade in CanadaRemove cap from Dryerball inner casing, using a coin.Insert fragrance stick and secure cap.Toss dryerballs into dryer and enjoy naturally scented laundryFragrance stick lasts for an average of 10 loads beforte replacement is required.©Batten Industries, Inc.	Natural way to add fragrance10 dryer sticks per bottleEach lasts up to 10 loadsIngredients:Soy Wax 100% pure , Essential Oil, Paper Board ,no of pieces: 1	https://www.walgreens.com/store/c/nellie's-all-natural-dryerball-fragrance-sticks-simply-fresh/ID=prod6193144-product#1	https://www.walgreens.com/store/c/nellie%27s-all-natural-dryerball-fragrance-sticks-simply-fresh/ID=prod6193144-product		200
https://www.walgreens.com/store/c/all-american-efx-kre-alkalyn-ph-correct-creatine-capsules/ID=prod6148448-product	All American EFX Kre-Alkalyn pH-Correct Creatine, Capsules120.0ea	233738	73719000056		All American EFX	https://pics.drugstore.com/prodimg/408065/450.jpg	16.99	0	In Stock	Home, Shop,Diet & Fitness,Sports Nutrition,Creatine	{"Ingredients":"Active Ingredients:Kre Alkalyn 1.5 g pH Correct Creatine Inactive Ingredients:Maltodextrin, Magnesium Stearate","Product in inches LxWxH":"2.5x 2.45x 4.45","Item Code":"233738","Amount Per Serving":"% Daily value+","Shipping Weight in lbs":"0.34","Serving Size :":"1 Capsule","Serving per Container :":"60","Kre Alkalyn":"1.5g"}	Kre-Alkalyn pH-Correct capsulesMaximum stability & absorptionGet body without bloat	Quick viewKre-Alkalyn pH-Correct capsulesMaximum stability & absorptionGet body without bloatDietary SupplementGet the Body without the Bloat!Corrected to pH 12 for maximum stability and absorption.Patented Creatine Stabilization Technology:The world's only creatine that doesn't lose potency before reaching muscle.*Strength Lean Mass Endurance*Kre-Alkalyn® EFX remains 100% stable and reaches muscle cells at full strength.Its patent #6,399,661 also covers all pH levels from 7-14.Therefore, the pH of all other creatine products must be pH 6.9 or less - meaning they will degrade and lose potency in liquids.No Loading, Cycling, Side EffectsThe Patent Holder's Original BrandPurity & Potency Guaranteed with Buchi Near Infrared Technology1-888-238-1864*These statements have not been evaluated by the Food and Drug Administration.This product is not intended to diagnose, treat, cure, or prevent any disease.As a dietary supplement take 2 capsules daily, 1 pre-workout and 1 post-workout.Keep tightly closed in a cool, dry place away from children.©All American EFX	Kre-Alkalyn pH-Correct capsulesMaximum stability & absorptionGet body without bloatActive Ingredients:Kre Alkalyn 1.5 g pH Correct Creatine Inactive Ingredients:Maltodextrin, Magnesium StearateNutrition FactsServing Size :1 CapsuleServing per Container :60Amount Per Serving% Daily value+Kre Alkalyn1.5g ,no of pieces: 1	https://www.walgreens.com/store/c/all-american-efx-kre-alkalyn-ph-correct-creatine-capsules/ID=prod6148448-product#1	https://www.walgreens.com/store/c/all-american-efx-kre-alkalyn-ph-correct-creatine-capsules/ID=prod6148448-product		200
https://www.walgreens.com/store/c/all-terrain-kids-herbal-armor-natural-insect-repellent/ID=prod6258449-product	All Terrain Kids Herbal Armor Natural Insect Repellent8.0fl oz	372680	60850301009		All Terrain	https://pics.drugstore.com/prodimg/529961/450.jpg	14.99	0	In Stock	Home, Shop,Household,Pest Control,Outdoor Pests	{"Product in inches LxWxH":"3.25x 1.5x 7.0","Item Code":"372680","Warnings":"Keep out of reach of children.May cause eye irritation.Avoid contact in or around eyes or mouth.May cause skin irritation in rare cases.If skin irritation occurs, discontinue use and wash with soap and water.If irritation persists, seek medical help.Do not apply to children under 6 months of age.Disposal:Do not reuse empty container.Recycle or wrap container and put in trash.","Shipping Weight in lbs":"0.58"}	DEET-free, water & sweat resistantNatural, safe & proven effectiveAwarded Best Gear	Quick viewDEET-free, water & sweat resistantNatural, safe & proven effectiveAwarded Best Gear"Family Size"DEET-Free, Water & Sweat ResistantNatural, Safe & Proven EffectiveAwarded Best GearCruelty FreeFinally, a DEET-Free Repellent that Works"Deerflies, mosquitoes, everything stayed away," From The New York Times®, July 27, 2006Awarded Best Gear by National Geographic® Adventure: "Of all the natural, DEET-free bug repellents none that we tried was as effective as Herbal Armor®." Jan. 2006 Active Ingredients:Oil of Soybean.....11.5%Oil of Citronella.....10.0%Oil of Peppermint.....2.0%Oil of Cedar.....1.50%Oil of Lemongrass.....1.00%Oil of Geranium.....0.05%Inert Ingredients 73.95% :WaterGlyceryl StearateBeeswaxVegetable GlycerinXanthan GumPotassium SorbateCitric Acid800-246-7328Made in USAShake well.Apply liberally and evenly to exposed skin every 2 to 3 hours.For application to face, apply to hands and wipe on face avoiding contact with eyes and mouth.Product may also be applied to fabric.©All Terrain	DEET-free, water & sweat resistantNatural, safe & proven effectiveAwarded Best Gear,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-kids-herbal-armor-natural-insect-repellent/ID=prod6258449-product#1	https://www.walgreens.com/store/c/all-terrain-kids-herbal-armor-natural-insect-repellent/ID=prod6258449-product		200
https://www.walgreens.com/store/c/nellie's-all-natural-dryerball-fragrance-sticks-citrus/ID=prod6194821-product	Nellie's All Natural Dryerball Fragrance Sticks Citrus10.0ea	304376	81064800700		Nellie's All Natural	https://pics.drugstore.com/prodimg/333855/450.jpg	6.99	9.99	In Stock	Home, Shop,Household,Laundry & Cleaning,Laundry	{"Ingredients":"Ingredients:Soy Wax 100% pure , Essential Oil, Paper Board","Product in inches LxWxH":"2.35x 2.3x 2.7","Item Code":"304376","Shipping Weight in lbs":"0.35"}	Natural way to add fragrance10 dryer sticks per bottleEach lasts up to 10 loads	Quick viewNatural way to add fragrance10 dryer sticks per bottleEach lasts up to 10 loadsPlease Note: Product received may temporarily differ from image shown due to packaging update.For use with Nellie's PVC free Dryerballs. These soy wax and essential oil infused fragrance sticks are sure to please anyone looking to add a little flavor to their laundry.10 per bottle.Each lasts up to 10 loads depending on fabrics & drying timeNellie never tested on animalsMade in CanadaRemove cap from Dryerball inner casing, using a coin.Insert fragrance stick and secure cap.Toss dryerballs into dryer and enjoy naturally scented laundryFragrance stick lasts for an average of 10 loads beforte replacement is required.©Batten Industries, Inc.	Natural way to add fragrance10 dryer sticks per bottleEach lasts up to 10 loadsIngredients:Soy Wax 100% pure , Essential Oil, Paper Board ,no of pieces: 1	https://www.walgreens.com/store/c/nellie's-all-natural-dryerball-fragrance-sticks-citrus/ID=prod6194821-product#1	https://www.walgreens.com/store/c/nellie%27s-all-natural-dryerball-fragrance-sticks-citrus/ID=prod6194821-product		200
https://www.walgreens.com/store/c/all-terrain-herbal-armor-natural-insect-repellent/ID=prod6258452-product	All Terrain Herbal Armor Natural Insect Repellent8.0fl oz	372683	60850301008		All Terrain	https://pics.drugstore.com/prodimg/529960/450.jpg	10.59	14.99	In Stock	Home, Shop,Household,Pest Control,Outdoor Pests	{"Product in inches LxWxH":"3.25x 1.5x 7.0","Item Code":"372683","Warnings":"Keep out of reach of children.May cause eye irritation.Avoid contact in or around eyes or mouth.May cause skin irritation in rare cases.If skin irritation occurs, discontinue use and wash with soap and water.If irritation persists, seek medical help.Do not apply to children under 6 months of age.Disposal:Do not reuse empty container.Recycle or wrap container and put in trash.","Shipping Weight in lbs":"0.58"}	DEET-free, water & sweat resistantNatural, safe & proven effectiveAwarded Best Gear	Quick viewDEET-free, water & sweat resistantNatural, safe & proven effectiveAwarded Best Gear"Family Size"DEET-Free, Water & Sweat ResistantNatural, Safe & Proven EffectiveAwarded Best GearCruelty FreeFinally, a DEET-Free Repellent that Works"Deerflies, mosquitoes, everything stayed away," From The New York Times®, July 27, 2006Awarded Best Gear by National Geographic® Adventure: "Of all the natural, DEET-free bug repellents none that we tried was as effective as Herbal Armor®." Jan. 2006 Active Ingredients:Oil of Soybean.....11.5%Oil of Citronella.....10.0%Oil of Peppermint.....2.0%Oil of Cedar.....1.50%Oil of Lemobrrass.....1.00%Oil of Geranium.....0.05%Inert Ingredients 73.95% :WaterGlyceryl StearateBeeswaxVegetable GlycerinXanthan GumPotassium SorbateCitric Acid800-246-7328Made in USAShake well.Apply liberally and evenly to exposed skin every 2 to 3 hours.For application to face, apply to hands and wipe on face avoiding contact with eyes and mouth.Product may also be applied to fabric.©All Terrain	DEET-free, water & sweat resistantNatural, safe & proven effectiveAwarded Best Gear,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-herbal-armor-natural-insect-repellent/ID=prod6258452-product#1	https://www.walgreens.com/store/c/all-terrain-herbal-armor-natural-insect-repellent/ID=prod6258452-product		200
https://www.walgreens.com/store/c/all-terrain-rolled-gauze-3-inches-x-2.5-yards-unstretched/ID=prod6318948-product	All Terrain Rolled Gauze 3 Inches x 2.5 Yards (Unstretched)1.0ea	937204	60850305008		All Terrain	https://pics.drugstore.com/prodimg/568309/450.jpg	3.09	4.59	In Stock	Home, Shop,Medicines & Treatments,First Aid,Bandages & Bandaging Supplies	{"Product in inches LxWxH":"2.0x 1.38x 3.75","Item Code":"937204","Shipping Weight in lbs":"0.05"}	Latex freeComfortable protectionSterile	Quick viewLatex freeComfortable protectionSterile"First Aid for the Outdoor Enthusiast"Latex FreeComfortable ProtectionSterileIdeal rolled bandage for securing a dressing on areas where flexibility is important.Soft and absorbent.Protects and cushions the area.ALL TERRAIN sells natural remedies and performance products for active lifestyles. The company also helps promote conservation and supports responsible environmental organizations. Please take care of the environment.It belongs to all of us and is for all of us to enjoy.1-800-246-7328Made in China Gently clean wound area.Apply sterile dressing.Wrap stretched gauze around the injured area.Tape end of stretched gauze to secure in place.	Latex freeComfortable protectionSterile,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-rolled-gauze-3-inches-x-2.5-yards-unstretched/ID=prod6318948-product#1	https://www.walgreens.com/store/c/all-terrain-rolled-gauze-3-inches-x-2.5-yards-unstretched/ID=prod6318948-product		200
https://www.walgreens.com/store/c/all-terrain-kids-herbal-armor-spray/ID=prod6257967-product	All Terrain Kids Herbal Armor Spray4.0fl oz	372024			All Terrain	https://pics.drugstore.com/prodimg/167570/450.jpg	0	0	In Stock	Home, Shop,Household,Pest Control,Outdoor Pests	{"Ingredients":"Active Ingredients:Oil of Citronella 10.0% , Oil of Soybean 5.6% , Oil of Peppermint 2.0% , Oil of Cedar 1.50% , Oil of Lemongrass 1.00% , Oil of Geranium 0.05% Inactive Ingredients:Water, Beeswax Apis Mellifera , Vegetable Glycerin, Sorbitol, Potassium Sorbate, Citric Acid","Product in inches LxWxH":"2.5x 2.5x 5.65","Item Code":"372024","Warnings":"Do not apply to children under 6 months of age. Take extra caution to keep product away from the child's eyes, mouth and hands. Always test on a small area of skin the underside of your child's forearm is a good spot to determine if any irritation will occur. Kids Herbal Armor should not be applied around the eyes.","Shipping Weight in lbs":"0.29"}	Long lasting protectionMade from six different oilsAll natural & environmentally friendly	Quick viewLong lasting protectionMade from six different oilsAll natural & environmentally friendlyDeet-Free Pump SprayDeet-Free & Time ReleasedFinally, a DEET-Free repellent that works, guaranteed.Why is Herbal Armor™ so effective?Over 20% active ingredients for awesome repelling powerTime-released encapsulation for long-lasting protectionSix essential oils, for protective varietyAll Terrain® is all natural, environmentally friendly and supports environmental groups.Adults applying to children over 1 year of age: Shake well. Apply evenly to exposed skin avoiding contact with the eyes, mouth and hands. Kids Herbal Armor can be applied to clothing. Apply every 2 to 3 hours or as needed.All Terrain	Long lasting protectionMade from six different oilsAll natural & environmentally friendlyActive Ingredients:Oil of Citronella 10.0% , Oil of Soybean 5.6% , Oil of Peppermint 2.0% , Oil of Cedar 1.50% , Oil of Lemongrass 1.00% , Oil of Geranium 0.05% Inactive Ingredients:Water, Beeswax Apis Mellifera , Vegetable Glycerin, Sorbitol, Potassium Sorbate, Citric Acid ,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-kids-herbal-armor-spray/ID=prod6257967-product#1	https://www.walgreens.com/store/c/all-terrain-kids-herbal-armor-spray/ID=prod6257967-product		200
https://www.walgreens.com/store/c/all-terrain-gauze-pads/ID=prod6318930-product	All Terrain Gauze Pads10.0ea	937201	60850305007		All Terrain	https://pics.drugstore.com/prodimg/568308/450.jpg	3.09	4.59	In Stock	Home, Shop,Medicines & Treatments,First Aid,Bandages & Bandaging Supplies	{"Product in inches LxWxH":"2.69x 1.13x 2.88","Item Code":"937201","Shipping Weight in lbs":"0.06"}	Ultra soft material12-ply designLatex free	Quick viewUltra soft material12-ply designLatex free"First Aid for the Outdoor Enthusiast"For Cleaning WoundsUltra Soft Material12-Ply DesignLatex Free3X More Absorbent vs. Other Sterile PadsGauze* Pads are ideal for cleaning minor cuts, scrapes or burns.ALL TERRAIN sells natural remedies and performance products for active lifestyles. The company also helps promote conservation and supports responsible environmental organizations. Please take care of the environment.It belongs to all of us and is for all of us to enjoy.1-800-246-7328Made in China*Rayon-Polyester Formed Fabric Use Gauze Pad to gently clean in and around injured area with mild soap and water.Dry injured area and apply medication if necessary.Cover wounds with Non-Stick Pad.Secure dressing in place with Tape and/or Rolled Gauze.In case of deep puncture wounds or serious burns consult a physician.	Ultra soft material12-ply designLatex free,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-gauze-pads/ID=prod6318930-product#1	https://www.walgreens.com/store/c/all-terrain-gauze-pads/ID=prod6318930-product		200
https://www.walgreens.com/store/c/all-terrain-terrasport-sunscreen-lotion-spf-30/ID=prod6258450-product	All Terrain TerraSport Sunscreen Lotion SPF 306.0fl oz	372681	60850303332		All Terrain	https://pics.drugstore.com/prodimg/529958/450.jpg	22.99	0	In Stock	Home, Shop,Beauty,Sun Care,Sunscreen for Body	{"Ingredients":"Active Ingredients:Zinc Oxide 16.0% Sunscreen Inactive Ingredients:Purified Water, Caprylic/Capric Tryglycerides, Dimethicone, Glyceryl Stearate, Cetearyl Alcohol, Methylcellulose, Sunflower Helianthus Annuus Oil, Caprylyl Glycol, Aloe Vera Aloe Barbadensis Gel, Bladderwrack Fucus Vesiculosus Extract, Cucumber Cucumis Sativus Extract, d-Alpha Tocopherol Vitamin E , Dehydroxanthan Gum, Grapefruit Citrus Grandis Seed Extract, Jojoba Oil, Magnesium Ascorbyl Phosphate Vitamin C , Sea Kelp Macrocystis Pyrifera Extract","Product in inches LxWxH":"3.0x 1.75x 6.25","Item Code":"372681","Warnings":"Do not use on damaged or broken skin.Stop use and ask a doctor if rash occurs.When using this product keep out of eyes.Rinse with water to remove.Keep out of reach of children.If swallowed, get medical help or call a Poison Control Center right away.Sun protection measures:Spending time in the sun increases your risk of skin cancer and early skin aging.To decrease this risk, regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including:limit time in the sun, especially from 10 a.m. -2 p.m. and wear long-sleeved shirts, pants, hats and sunglasses.Children under 6 months:Ask a doctor.For use on skin only.Helps prevent sunburn.If used as directed with other sun protection measures, decreases the risk of skin cancer and early skin aging caused by the sun.","Shipping Weight in lbs":"0.42"}	Broad spectrum SPF 30 sunscreenWater resistant 80 minutes Oxybenzone free	Quick viewBroad spectrum SPF 30 sunscreenWater resistant 80 minutes Oxybenzone free"Top Rated Sunscreen," NaturallySunscreens for Active LifestylesWater Resistant 80 Minutes Oxybenzone FreeFragrance FreeNon-GreasyNo SlipDry GripCruelty Free800-246-7328Made in USAApply liberally and evenly 15 minutes before sun exposure.Reapply:after 80 minutes of swimming or sweating; immediately after towel drying; at least every 2 hours; children under 6 months:ask a doctor.Protect this product from excessive heat and direct sunlight.©All Terrain	Broad spectrum SPF 30 sunscreenWater resistant 80 minutes Oxybenzone freeActive Ingredients:Zinc Oxide 16.0% Sunscreen Inactive Ingredients:Purified Water, Caprylic/Capric Tryglycerides, Dimethicone, Glyceryl Stearate, Cetearyl Alcohol, Methylcellulose, Sunflower Helianthus Annuus Oil, Caprylyl Glycol, Aloe Vera Aloe Barbadensis Gel, Bladderwrack Fucus Vesiculosus Extract, Cucumber Cucumis Sativus Extract, d-Alpha Tocopherol Vitamin E , Dehydroxanthan Gum, Grapefruit Citrus Grandis Seed Extract, Jojoba Oil, Magnesium Ascorbyl Phosphate Vitamin C , Sea Kelp Macrocystis Pyrifera Extract ,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-terrasport-sunscreen-lotion-spf-30/ID=prod6258450-product#1	https://www.walgreens.com/store/c/all-terrain-terrasport-sunscreen-lotion-spf-30/ID=prod6258450-product		200
https://www.walgreens.com/store/c/all-terrain-first-aid-kit-17-piece/ID=prod6318941-product	All Terrain First Aid Kit 17 Piece1.0ea	937203	60850306017		All Terrain	https://pics.drugstore.com/prodimg/568316/450.jpg	10.59	15.99	In Stock	Home, Shop,Medicines & Treatments,First Aid,Bandages & Bandaging Supplies	{"10 Fabric Bandages":"3 in. x 3/4 in.","5 Guaze Pads":"2 in. x 2 in.","Product in inches LxWxH":"5.0x 2.0x 4.38","Item Code":"937203","Warnings":"Aloe GelDo Not Use in the eyes.If this happens, rinse thoroughly with waterStop Use & Ask a Doctor if condition worsens, symptoms last more than 7 days or clear up and occur again within a few days.Keep Out of Reach of Children.In case of accidental ingestion, seek professional assistance or contact a Poison Control Center immediately.Antisepz GelFlammable keep away from fire or flame.When using this product keep out of eyes.In case of contact with eyes, flush thoroughly with water.Keep out of reach of children. In case of accidental ingestion, seek professional assistance or contact a Poison Control Center Aloe GelTemporarily protects; minor cuts, scrapes, burns.Helps prevent & temporarily protects and helps relieve chafed, chapped or cracked skin.Antisepz GelFirst Aid Antiseptic to Help Protect Against Skin Infection in Minor Cuts & Scrapes.Recommended for Repeat Use.","Shipping Weight in lbs":"0.4"}	Pack-and-go convenienceDurable plastic caseCruelty free	Quick viewPack-and-go convenienceDurable plastic caseCruelty freeEssential Items for an Active LifestyleNaturally Effective Since 1996Pack-and-Go ConvenienceDurable Plastic CaseCruelty FreeKit Includes:10 Fabric Bandages: 3 in. x 3/4 in.5 Guaze Pads: 2 in. x 2 in.Aloe Gel 2 ozAtisepz Gel .5 ozAloe GelActive Ingredients:Allantoin 0.5% Skin Protectant Inactive Ingredients:Aqua Water , Aloe Barbadensis Aloe Vera Gel, Glycerin, Dimethicone, Dehydroxanthan Gum, Sodium PCS, Anthernis Nobilis Chamomile Extract, Cucumber Cucumis Sativus Extract, Bisabolol, Polysorbate 20, Phenoxyethanol, Caprylyl Glycol, Lavandula Angustifolia Lavender Oil.Antisepz GelActive Ingredients:Ethyl Alcohol 62.0% Antiseptic Inactive Ingredients:Purified Water, Hydroxyethyl Cellulose Wood Cellulose , Vegetable Glycerin, Aloe Vera Aloe Barbadensis Leaf Juice , Vitamin E DL-Alpha Tocopherol Acetate .1-800-246-7328Made in USAApply liberally as needed.Children under 6 months: ask a doctor.	Pack-and-go convenienceDurable plastic caseCruelty free,no of pieces: 1	https://www.walgreens.com/store/c/all-terrain-first-aid-kit-17-piece/ID=prod6318941-product#1	https://www.walgreens.com/store/c/all-terrain-first-aid-kit-17-piece/ID=prod6318941-product		200
